# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -16163 9 46 142 2686450 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/wline.c136c9f8e007.gif
DUPTYPE_WITHIN_SAME_TREE -16163 8 46 142 2028822 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/wline.gif
DUPTYPE_WITHIN_SAME_TREE -16163 9 46 142 2685836 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/wline.gif
DUPTYPE_FIRST_OCCURRENCE 7281 4 48 142 2426845 5 /openedx/staticfiles/css/vendor/slickgrid/images/header-columns-over-bg.d8a4e91fcc30.gif
DUPTYPE_WITHIN_SAME_TREE -7281 5 48 142 3871932 5 /openedx/staticfiles/studio/css/vendor/slickgrid/images/header-columns-over-bg.d8a4e91fcc30.gif
DUPTYPE_WITHIN_SAME_TREE -7281 4 48 142 2421611 5 /openedx/staticfiles/css/vendor/slickgrid/images/header-columns-over-bg.gif
DUPTYPE_WITHIN_SAME_TREE -7281 5 48 142 3871412 5 /openedx/staticfiles/studio/css/vendor/slickgrid/images/header-columns-over-bg.gif
DUPTYPE_FIRST_OCCURRENCE 9943 5 50 142 2686221 5 /openedx/staticfiles/js/bower/jquery/src/var/strundefined.9e452cb4a553.js
DUPTYPE_WITHIN_SAME_TREE -9943 10 50 142 16848 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/strundefined.js
DUPTYPE_WITHIN_SAME_TREE -9943 9 50 142 2424612 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/var/strundefined.9e452cb4a553.js
DUPTYPE_WITHIN_SAME_TREE -9943 9 50 142 2424263 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/var/strundefined.js
DUPTYPE_WITHIN_SAME_TREE -9943 6 50 142 1098436 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/strundefined.js
DUPTYPE_WITHIN_SAME_TREE -9943 6 50 142 1099398 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/strundefined.9e452cb4a553.js
DUPTYPE_WITHIN_SAME_TREE -9943 5 50 142 2685769 5 /openedx/staticfiles/js/bower/jquery/src/var/strundefined.js
DUPTYPE_WITHIN_SAME_TREE -9943 10 50 142 20416 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/strundefined.9e452cb4a553.js
DUPTYPE_FIRST_OCCURRENCE 4015 3 52 142 2686316 5 /openedx/staticfiles/common/js/vendor/index.55c2f095862b.js
DUPTYPE_WITHIN_SAME_TREE -4015 4 52 142 1632158 5 /openedx/staticfiles/studio/common/js/vendor/index.js
DUPTYPE_WITHIN_SAME_TREE -4015 4 52 142 1632520 5 /openedx/staticfiles/studio/common/js/vendor/index.55c2f095862b.js
DUPTYPE_WITHIN_SAME_TREE -4015 3 52 142 2685587 5 /openedx/staticfiles/common/js/vendor/index.js
